Sample	avg_sequence_length	percent_dedup	percent_duplicates	seq_len_read_count	seq_len_bp	sequence_length	total_sequences	percent_gc
temp | CRR214872.merged	458.358739539	4.6780007116	95.3219992884	64643.0	29629684.0	243-476	64643.0	51.0
temp | CRR214873.merged	455.326295238	3.72247578904	96.277524211	77341.0	35215391.0	245-476	77341.0	52.0
temp | CRR214874.merged	458.720539949	3.08672538698	96.913274613	76748.0	35205884.0	243-476	76748.0	52.0
temp | CRR214875.merged	454.142056141	3.6427836332	96.3572163668	56358.0	25594538.0	254-475	56358.0	52.0
temp | CRR214876.merged	453.814430711	3.12702246216	96.8729775378	63351.0	28749598.0	253-475	63351.0	51.0
temp | CRR214877.merged	458.326168759	4.93476215796	95.065237842	48898.0	22411233.0	245-475	48898.0	51.0
temp | CRR214878.merged	457.97393994	3.90413794783	96.0958620522	82118.0	37607904.0	260-475	82118.0	51.0
temp | CRR214879.merged	459.688924997	4.60383782111	95.3961621789	38772.0	17823059.0	247-475	38772.0	52.0
temp | CRR214880.merged	456.380976003	3.89719104607	96.1028089539	64508.0	29440224.0	253-476	64508.0	51.0
temp | CRR214881.merged	455.901155637	5.11954450047	94.8804554995	41449.0	18896647.0	263-475	41449.0	57.0
temp | CRR214882.merged	451.070051156	2.81784269171	97.1821573083	82297.0	37121712.0	250-475	82297.0	53.0
temp | CRR214883.merged	453.497017762	4.21445893688	95.7855410631	61028.0	27676016.0	245-476	61028.0	52.0
temp | CRR214884.merged	456.47711446	3.76730477793	96.2326952221	107557.0	49097309.0	244-475	107557.0	52.0
temp | CRR214885.merged	452.819344107	4.85314981817	95.1468501818	61321.0	27767335.0	245-475	61321.0	52.0
temp | CRR214886.merged	453.403416422	4.6343603241	95.3656396759	58131.0	26356794.0	260-476	58131.0	52.0
temp | CRR214887.merged	452.693660904	3.43902382119	96.5609761788	42861.0	19402903.0	249-475	42861.0	52.0
temp | CRR214888.merged	471.564110594	3.0690765927	96.9309234073	22352.0	10540401.0	335-475	22352.0	52.0
temp | CRR214889.merged	457.961785216	4.52480573819	95.4751942618	50190.0	22985102.0	294-475	50190.0	50.0
temp | CRR214890.merged	466.213368711	2.92691016127	97.0730898387	72363.0	33736598.0	243-475	72363.0	53.0
temp | CRR214891.merged	453.12565994	5.10108349736	94.8989165026	54361.0	24632364.0	245-475	54361.0	52.0
temp | CRR214892.merged	452.837664217	3.86403534155	96.1359646584	51837.0	23473746.0	248-476	51837.0	52.0
temp | CRR214893.merged	454.678229665	3.25726904674	96.7427309533	43472.0	19765772.0	276-475	43472.0	52.0
temp | CRR214894.merged	460.145932799	3.88253310513	96.1174668949	44404.0	20432320.0	296-475	44404.0	52.0
temp | CRR214895.merged	454.057175853	4.62388478783	95.3761152122	44162.0	20052073.0	245-475	44162.0	52.0
temp | CRR214896.merged	449.555787806	3.84386895201	96.156131048	45449.0	20431861.0	263-475	45449.0	52.0
temp | CRR214897.merged	455.969303273	3.5447713667	96.4552286333	78510.0	35798150.0	245-475	78510.0	50.0
temp | CRR214898.merged	457.425060133	4.18764211827	95.8123578817	76081.0	34801356.0	246-476	76081.0	51.0
temp | CRR214899.merged	457.209882092	5.00713794744	94.9928620526	37826.0	17294421.0	246-475	37826.0	51.0
temp | CRR214900.merged	452.279407637	4.42935617958	95.5706438204	74819.0	33839093.0	246-475	74819.0	52.0
temp | CRR214901.merged	450.808090901	3.64577328568	96.3542267143	78063.0	35191432.0	244-476	78063.0	53.0
temp | CRR214902.merged	450.716705554	2.86840405478	97.1315959452	75861.0	34191820.0	261-476	75861.0	53.0
temp | CRR214903.merged	453.78187882	4.69465587949	95.3053441205	62667.0	28437149.0	246-475	62667.0	52.0
temp | CRR214904.merged	455.486285714	3.24217687075	96.7578231293	73500.0	33478242.0	251-475	73500.0	52.0
temp | CRR214905.merged	457.140593605	4.00137780584	95.9986221942	52257.0	23888796.0	246-475	52257.0	51.0
temp | CRR214906.merged	457.454516662	2.72239052603	97.277609474	72620.0	33220347.0	249-475	72620.0	51.0
temp | CRR214907.merged	456.010451505	3.69147157191	96.3085284281	47840.0	21815540.0	270-474	47840.0	50.0
temp | CRR214908.merged	457.761776415	3.36645174929	96.6335482507	56766.0	25985305.0	270-475	56766.0	50.0
temp | CRR214909.merged	455.279902083	5.59169518801	94.408304812	44119.0	20086494.0	243-475	44119.0	51.0
temp | CRR214910.merged	463.981183973	2.95292489357	97.0470751064	114158.0	52967164.0	245-475	114158.0	53.0
temp | CRR214911.merged	452.976740499	3.93566889078	96.0643311092	69391.0	31432509.0	247-475	69391.0	52.0
temp | CRR214912.merged	452.302221595	3.92544478961	96.0745552104	84984.0	38438452.0	251-475	84984.0	54.0
temp | CRR214913.merged	452.950908157	3.05823909435	96.9417609056	83741.0	37930562.0	270-476	83741.0	52.0
temp | CRR214914.merged	457.072752259	4.78907258568	95.2109274143	48026.0	21951376.0	256-475	48026.0	51.0
temp | CRR214915.merged	452.031410541	3.39633411556	96.6036658844	63068.0	28508717.0	249-476	63068.0	53.0
temp | CRR214916.merged	453.033602591	4.58627193702	95.413728063	48776.0	22097167.0	260-475	48776.0	53.0
temp | CRR214917.merged	456.112293545	4.60805006568	95.3919499343	67751.0	30902064.0	259-475	67751.0	52.0
temp | CRR214918.merged	455.717620379	3.91488200791	96.0851179921	58648.0	26726927.0	270-475	58648.0	51.0
temp | CRR214919.merged	451.541918861	3.55231662881	96.4476833712	65591.0	29617086.0	245-475	65591.0	52.0
temp | CRR214920.merged	451.374451168	4.98778599141	95.0122140086	62633.0	28270936.0	252-475	62633.0	52.0
temp | CRR214921.merged	454.188786691	4.18840087657	95.8115991234	64798.0	29430525.0	246-475	64798.0	53.0
temp | CRR214922.merged	461.479301268	3.98340910904	96.016590891	62685.0	28927830.0	245-475	62685.0	55.0
temp | CRR214923.merged	452.887082977	4.43113772455	95.5688622754	58450.0	26471250.0	243-475	58450.0	52.0
temp | CRR214924.merged	461.159034203	4.15639964666	95.8436003533	64527.0	29757209.0	244-476	64527.0	50.0
temp | CRR214925.merged	459.480798016	3.49411317888	96.5058868211	44761.0	20566820.0	247-476	44761.0	51.0
temp | CRR214926.merged	456.20704346	4.86191393706	95.1380860629	46710.0	21309431.0	256-475	46710.0	51.0
temp | CRR214927.merged	455.370504833	3.34065408692	96.6593459131	66933.0	30479314.0	245-475	66933.0	53.0
temp | CRR214928.merged	468.680297398	2.6936096862	97.3063903138	48151.0	22567425.0	250-475	48151.0	53.0
temp | CRR214929.merged	456.047082239	5.19493552326	94.8050644767	59789.0	27266599.0	249-475	59789.0	52.0
temp | CRR214930.merged	457.032402061	3.98862929733	96.0113707027	45028.0	20579255.0	249-475	45028.0	51.0
temp | CRR214931.merged	453.04136279	3.51947397005	96.4805260299	103112.0	46714001.0	247-476	103112.0	52.0
temp | CRR214932.merged	461.540986061	3.43010285817	96.5698971418	66791.0	30826784.0	260-476	66791.0	52.0
temp | CRR214933.merged	457.718925759	3.76827896513	96.2317210349	49784.0	22787079.0	252-475	49784.0	52.0
temp | CRR214934.merged	451.393391808	2.97054166058	97.0294583394	89041.0	40192519.0	246-476	89041.0	53.0
temp | CRR214935.merged	451.858796822	4.68475905479	95.3152409452	48455.0	21894818.0	246-475	48455.0	52.0
temp | CRR214936.merged	454.441877628	2.99802266967	97.0019773303	71814.0	32635289.0	244-475	71814.0	54.0
temp | CRR214937.merged	454.003235872	4.09235075825	95.9076492418	77877.0	35356410.0	248-476	77877.0	52.0
temp | CRR214938.merged	453.543711697	3.37200775234	96.6279922477	76364.0	34634412.0	246-475	76364.0	51.0
temp | CRR214939.merged	454.950046844	4.03807247892	95.9619275211	73649.0	33506616.0	246-475	73649.0	52.0
temp | CRR214940.merged	449.472749568	3.89761107097	96.102388929	45669.0	20526971.0	247-475	45669.0	51.0
temp | CRR214941.merged	456.754665622	3.440712817	96.559287183	51065.0	23324177.0	247-475	51065.0	51.0
temp | CRR214942.merged	456.344622974	3.44186046512	96.5581395349	70950.0	32377651.0	247-475	70950.0	52.0
temp | CRR214943.merged	456.490775028	3.7885185907	96.2114814093	92358.0	42160575.0	260-476	92358.0	53.0
temp | CRR214944.merged	459.530420619	4.09760148191	95.9023985181	31311.0	14388357.0	245-474	31311.0	53.0
temp | CRR214945.merged	455.878681287	3.35241650365	96.6475834963	55721.0	25402016.0	285-475	55721.0	52.0
temp | CRR214946.merged	454.504572942	4.87530611225	95.1246938878	40018.0	18188364.0	246-475	40018.0	52.0
temp | CRR214947.merged	458.592410995	3.34190525173	96.6580947483	87495.0	40124543.0	245-475	87495.0	52.0
temp | CRR214948.merged	470.041269443	2.5965880582	97.4034119418	71748.0	33724521.0	274-476	71748.0	54.0
temp | CRR214949.merged	454.955999042	3.86030188998	96.13969811	70953.0	32280493.0	260-475	70953.0	51.0
temp | CRR214950.merged	454.853893151	3.78748094732	96.2125190527	78073.0	35511808.0	246-475	78073.0	52.0
temp | CRR214951.merged	457.623515683	4.3178281877	95.6821718123	48844.0	22352163.0	296-475	48844.0	52.0
temp | CRR214952.merged	457.58129631	4.0184159413	95.9815840587	69505.0	31804188.0	251-476	69505.0	52.0
temp | CRR214953.merged	463.637084157	3.31126966389	96.6887303361	58165.0	26967451.0	247-475	58165.0	54.0
temp | CRR214954.merged	455.634347019	4.69266758087	95.3073324191	49588.0	22593996.0	247-476	49588.0	51.0
temp | CRR214955.merged	458.485406939	5.1294319513	94.8705680487	60611.0	27789259.0	259-476	60611.0	52.0
temp | CRR214956.merged	453.188277285	4.09346941052	95.9065305895	53793.0	24378357.0	272-475	53793.0	52.0
temp | CRR214957.merged	453.421076195	3.59015904149	96.4098409585	93812.0	42536338.0	256-476	93812.0	52.0
temp | CRR214958.merged	471.871947712	1.52454615188	98.4754538481	62576.0	29527859.0	316-475	62576.0	52.0
temp | CRR214959.merged	451.275165117	3.23693491504	96.763065085	77975.0	35188181.0	258-476	77975.0	52.0
temp | CRR214960.merged	455.956485443	5.40018783262	94.5998121674	38332.0	17477724.0	244-476	38332.0	53.0
temp | CRR214961.merged	455.061592578	5.80042021766	94.1995797823	42359.0	19275954.0	251-475	42359.0	52.0
temp | CRR214962.merged	452.866918556	4.33609211947	95.6639078805	50022.0	22653309.0	244-475	50022.0	52.0
temp | CRR214963.merged	452.245329603	3.87005184758	96.1299481524	48604.0	21980932.0	245-476	48604.0	52.0
temp | CRR214964.merged	463.235013918	3.01485866625	96.9851413338	51014.0	23631471.0	263-475	51014.0	51.0
temp | CRR214965.merged	455.80368154	4.11158388132	95.8884161187	87898.0	40064232.0	244-476	87898.0	51.0
temp | CRR214966.merged	453.876836816	3.73956118364	96.2604388164	84181.0	38207806.0	244-476	84181.0	52.0
temp | CRR214967.merged	469.013541012	1.98844366286	98.0115563371	79610.0	37338168.0	244-476	79610.0	55.0
temp | CRR214968.merged	451.659550643	3.23893464336	96.7610653566	83052.0	37511229.0	248-475	83052.0	52.0
temp | CRR214969.merged	459.282762442	3.6280385552	96.3719614448	68577.0	31496234.0	246-475	68577.0	50.0
temp | CRR214970.merged	456.213634313	3.17813646081	96.8218635392	101978.0	46523754.0	247-476	101978.0	53.0
temp | CRR214971.merged	455.400422844	4.47118396325	95.5288160368	76624.0	34894602.0	245-476	76624.0	52.0
temp | CRR214972.merged	454.412623519	3.53795316621	96.4620468338	62946.0	28603457.0	246-474	62946.0	51.0
temp | CRR214973.merged	456.527289507	3.45875337214	96.5412466279	70430.0	32153217.0	245-475	70430.0	51.0
temp | CRR214974.merged	459.369008029	3.00942024404	96.990579756	79085.0	36329198.0	248-476	79085.0	52.0
temp | CRR214975.merged	456.735926899	4.4946898519	95.5053101481	62051.0	28340921.0	256-475	62051.0	52.0
temp | CRR214976.merged	452.425594541	3.12353561387	96.8764643861	68288.0	30895239.0	266-476	68288.0	53.0
temp | CRR214977.merged	455.395533228	4.42036880119	95.5796311988	49566.0	22572135.0	249-475	49566.0	54.0
temp | CRR214978.merged	451.205616343	5.05976851559	94.9402314844	31622.0	14268024.0	249-475	31622.0	53.0
temp | CRR214979.merged	455.001655646	2.86704441451	97.1329555855	97243.0	44245726.0	244-475	97243.0	51.0
temp | CRR214980.merged	454.367033208	5.14251326659	94.8574867334	54837.0	24916125.0	264-475	54837.0	51.0
temp | CRR214981.merged	471.862458246	2.16503773351	97.8349622665	32332.0	15256257.0	356-475	32332.0	54.0
temp | CRR214982.merged	454.233724775	3.29621606557	96.7037839344	78939.0	35856756.0	253-476	78939.0	52.0
temp | CRR214983.merged	456.314687123	3.7665919669	96.2334080331	58010.0	26470815.0	243-475	58010.0	53.0
temp | CRR214984.merged	462.824534763	3.84100044663	96.1589995534	67170.0	31087924.0	263-476	67170.0	49.0
temp | CRR214985.merged	456.439868795	3.52484432258	96.4751556774	78046.0	35623306.0	263-475	78046.0	51.0
temp | CRR214986.merged	455.815594825	5.16151590952	94.8384840905	37179.0	16946768.0	253-475	37179.0	52.0
temp | CRR214987.merged	450.082829412	2.60615222821	97.3938477718	91284.0	41085361.0	268-475	91284.0	52.0
temp | CRR214988.merged	453.588391678	4.533775827	95.466224173	56046.0	25421815.0	246-475	56046.0	52.0
temp | CRR214989.merged	455.691148977	3.13017467016	96.8698253298	56163.0	25592982.0	270-475	56163.0	51.0
temp | CRR214990.merged	454.761222774	3.2373125017	96.7626874983	73734.0	33531364.0	245-475	73734.0	52.0
temp | CRR214991.merged	454.483508975	3.08936047351	96.9106395265	103905.0	47223109.0	245-475	103905.0	53.0
temp | CRR214992.merged	453.754694125	3.30405814658	96.6959418534	66040.0	29965960.0	246-476	66040.0	53.0
temp | CRR214993.merged	462.347979494	3.48881364514	96.5111863549	63202.0	29221317.0	246-475	63202.0	54.0
temp | CRR214994.merged	454.189011856	3.82882415232	96.1711758477	48161.0	21874197.0	246-475	48161.0	54.0
temp | CRR214995.merged	471.098551186	2.0202020202	97.9797979798	56529.0	26630730.0	251-475	56529.0	52.0
temp | CRR214996.merged	455.103479229	3.55237129511	96.4476287049	60157.0	27377660.0	273-475	60157.0	51.0
temp | CRR214997.merged	451.192161257	3.1386298465	96.8613701535	82998.0	37448047.0	260-476	82998.0	52.0
temp | CRR214998.merged	454.037925791	3.31544820595	96.684551794	57217.0	25978688.0	263-475	57217.0	51.0
temp | CRR214999.merged	455.596183782	4.09705839873	95.9029416013	62313.0	28389565.0	298-475	62313.0	51.0
temp | CRR215000.merged	458.665628814	4.01524397838	95.9847560216	80294.0	36828098.0	243-475	80294.0	50.0
temp | CRR215001.merged	456.42716539	4.45425867508	95.5457413249	55475.0	25320297.0	246-475	55475.0	54.0
temp | CRR215002.merged	455.903800737	5.86327423875	94.1367257612	31757.0	14478137.0	246-475	31757.0	52.0
temp | CRR215003.merged	458.813757746	3.54404906408	96.4559509359	62612.0	28727247.0	244-476	62612.0	52.0
temp | CRR215004.merged	456.834152374	3.47902496176	96.5209750382	61454.0	28074286.0	269-475	61454.0	51.0
temp | CRR215005.merged	460.490753861	4.6336970384	95.3663029616	28228.0	12998733.0	259-475	28228.0	53.0
temp | CRR215006.merged	458.294045179	3.17345621246	96.8265437875	84419.0	38688725.0	244-475	84419.0	51.0
temp | CRR215007.merged	456.376182708	3.77883943137	96.2211605686	85820.0	39166204.0	243-476	85820.0	51.0
temp | CRR215008.merged	471.43570078	2.34974186832	97.6502581317	47069.0	22190007.0	258-475	47069.0	54.0
temp | CRR215009.merged	450.030439635	2.94562851492	97.0543714851	90507.0	40730905.0	251-475	90507.0	52.0
temp | CRR215010.merged	452.899494211	2.95512411384	97.0448758862	145713.0	65993344.0	255-475	145713.0	52.0
temp | CRR215011.merged	452.14968264	3.26086956522	96.7391304348	63020.0	28494473.0	243-476	63020.0	53.0
temp | CRR215012.merged	452.435865697	4.4342152767	95.5657847233	77556.0	35089116.0	249-476	77556.0	53.0
temp | CRR215013.merged	457.261318524	4.78388866586	95.2161113341	44838.0	20502683.0	263-475	44838.0	51.0
temp | CRR215014.merged	458.164855553	4.6953046953	95.3046953047	49049.0	22472528.0	245-475	49049.0	52.0
temp | CRR215015.merged	455.106250908	4.20810064564	95.7918993544	48169.0	21922013.0	256-474	48169.0	52.0
temp | CRR215016.merged	456.699623326	2.60247475729	97.3975252427	108051.0	49346851.0	250-475	108051.0	52.0
temp | CRR215017.merged	455.834590252	2.10244819407	97.8975518059	178744.0	81477698.0	246-475	178744.0	52.0
temp | CRR215018.merged	453.486103069	2.65602577981	97.3439742202	79442.0	36025843.0	244-475	79442.0	51.0
temp | CRR215019.merged	457.971968484	3.64358465185	96.3564153482	78055.0	35747002.0	246-476	78055.0	51.0
temp | CRR215020.merged	451.042233997	3.60408701679	96.3959129832	44727.0	20173766.0	260-475	44727.0	53.0
temp | CRR215021.merged	458.440744074	4.9989614346	95.0010385654	43329.0	19863779.0	244-475	43329.0	52.0
temp | CRR215022.merged	456.583593778	3.31034235011	96.6896576499	55674.0	25419835.0	246-476	55674.0	53.0
temp | CRR215023.merged	451.167126147	3.98763341341	96.0123665866	50782.0	22911169.0	245-475	50782.0	53.0
temp | CRR215024.merged	452.682461651	3.80460045357	96.1953995464	70993.0	32137286.0	246-476	70993.0	52.0
temp | CRR215025.merged	455.86182286	3.2963163597	96.7036836403	73840.0	33660837.0	248-475	73840.0	51.0
temp | CRR215026.merged	451.494658215	2.49084903134	97.5091509687	100809.0	45514725.0	246-476	100809.0	52.0
temp | CRR215027.merged	453.648468551	3.4434353172	96.5565646828	59127.0	26822873.0	246-475	59127.0	52.0
temp | CRR215028.merged	461.750139965	4.35756275077	95.6424372492	42868.0	19794305.0	245-476	42868.0	50.0
temp | CRR215029.merged	462.106229394	4.53878665524	95.4612133448	68851.0	31816476.0	244-475	68851.0	53.0
temp | CRR215030.merged	455.958200997	3.16454654665	96.8354534534	60767.0	27707212.0	329-475	60767.0	51.0
temp | CRR215031.merged	463.840257063	3.07392861667	96.9260713833	86827.0	40273858.0	298-476	86827.0	52.0
temp | CRR215032.merged	452.689882538	2.96639156951	97.0336084305	68703.0	31101153.0	245-476	68703.0	52.0
temp | CRR215033.merged	454.996804033	3.66073237154	96.3392676285	88862.0	40431926.0	244-475	88862.0	51.0
temp | CRR215034.merged	451.91336215	4.05521100879	95.9447889912	47889.0	21641679.0	252-475	47889.0	52.0
temp | CRR215035.merged	451.142359157	2.77777777778	97.2222222222	63972.0	28860479.0	248-475	63972.0	53.0
temp | CRR215036.merged	450.850282022	3.84790902287	96.1520909771	54783.0	24698931.0	252-474	54783.0	52.0
temp | CRR215037.merged	450.710198277	2.79867680578	97.2013231942	99154.0	44689719.0	246-476	99154.0	52.0
temp | CRR215038.merged	451.050851723	3.25589442723	96.7441055728	63577.0	28676460.0	260-475	63577.0	52.0
temp | CRR215039.merged	453.860573953	4.50588741833	95.4941125817	53419.0	24244778.0	260-474	53419.0	51.0
temp | CRR215040.merged	461.655459294	3.20957929359	96.7904207064	46517.0	21474827.0	250-475	46517.0	53.0
temp | CRR215041.merged	452.74504972	3.65806843089	96.3419315691	80753.0	36560521.0	246-475	80753.0	52.0
temp | CRR215042.merged	452.178428347	3.872234953	96.127765047	64149.0	29006794.0	249-475	64149.0	52.0
temp | CRR215043.merged	456.307193566	3.90797050898	96.092029491	73107.0	33359250.0	263-475	73107.0	51.0
temp | CRR215044.merged	462.543529821	2.60261843021	97.3973815698	63244.0	29253103.0	307-475	63244.0	54.0
temp | CRR215045.merged	453.478067839	3.18593500266	96.8140649973	84465.0	38303025.0	243-475	84465.0	53.0
temp | CRR215046.merged	453.134258311	2.9276468945	97.0723531055	107390.0	48662088.0	243-476	107390.0	53.0
temp | CRR215047.merged	459.846028233	4.42190756537	95.5780924346	46541.0	21401694.0	250-475	46541.0	50.0
temp | CRR215048.merged	453.246034922	3.42670061841	96.5732993816	54980.0	24919467.0	250-476	54980.0	52.0
temp | CRR215049.merged	452.188143067	4.0755422921	95.9244577079	44902.0	20304152.0	245-475	44902.0	52.0
temp | CRR215050.merged	452.218219372	3.60383192255	96.3961680774	78916.0	35687253.0	253-475	78916.0	52.0
temp | CRR215051.merged	471.600092464	1.91532923849	98.0846707615	45423.0	21421491.0	277-475	45423.0	54.0
temp | CRR215052.merged	455.180484153	2.62552427922	97.3744757208	90839.0	41348140.0	245-475	90839.0	52.0
temp | CRR215053.merged	459.649913899	5.27921279213	94.7207872079	40650.0	18684769.0	246-475	40650.0	52.0
temp | CRR215054.merged	453.135247787	4.34201448775	95.6579855122	69576.0	31527338.0	244-475	69576.0	52.0
temp | CRR215055.merged	455.997949004	3.8919699406	96.1080300594	60946.0	27791251.0	248-475	60946.0	51.0
temp | CRR215056.merged	457.554914842	4.56631390231	95.4336860977	74743.0	34199027.0	247-475	74743.0	51.0
temp | CRR215057.merged	458.031478241	3.08505782106	96.9149421789	52576.0	24081463.0	251-475	52576.0	50.0
temp | CRR215058.merged	452.497450903	3.5077011453	96.4922988547	55706.0	25206823.0	282-475	55706.0	52.0
temp | CRR215059.merged	453.757752791	3.07310631827	96.9268936817	49982.0	22679720.0	245-475	49982.0	53.0
temp | CRR215060.merged	451.100268146	4.01664355062	95.9833564494	54075.0	24393247.0	245-475	54075.0	53.0
temp | CRR215061.merged	457.841116877	2.97590270839	97.0240972916	93081.0	42616309.0	273-475	93081.0	51.0
temp | CRR215062.merged	452.551056516	3.13112930947	96.8688706905	98910.0	44761825.0	249-475	98910.0	52.0
temp | CRR215063.merged	454.0214088	4.8915042295	95.1084957705	51661.0	23455200.0	243-475	51661.0	52.0
temp | CRR215064.merged	456.800281237	3.15789473684	96.8421052632	74670.0	34109277.0	245-475	74670.0	51.0
temp | CRR215065.merged	460.02595233	4.50071951966	95.4992804803	60457.0	27811789.0	245-476	60457.0	50.0
temp | CRR215066.merged	452.592734007	3.61241940647	96.3875805935	43738.0	19795501.0	253-474	43738.0	52.0
temp | CRR215067.merged	454.037973796	4.23645596611	95.7635440339	71286.0	32366551.0	268-475	71286.0	53.0
temp | CRR215068.merged	459.214779879	4.01708002916	95.9829199708	67213.0	30865203.0	247-476	67213.0	51.0
temp | CRR215069.merged	453.046000485	5.53459554879	94.4654044512	28891.0	13088952.0	258-475	28891.0	54.0
temp | CRR215070.merged	453.482610217	4.74457662701	95.255423373	28580.0	12960533.0	263-476	28580.0	52.0
temp | CRR215071.merged	463.212486417	3.06672374241	96.9332762576	91107.0	42201900.0	252-476	91107.0	51.0
temp | CRR215072.merged	455.430629291	3.25400457666	96.7459954233	87400.0	39804637.0	246-475	87400.0	51.0
temp | CRR215073.merged	459.076119637	4.6789852803	95.3210147197	63860.0	29316601.0	252-475	63860.0	53.0
temp | CRR215074.merged	459.021344661	4.61803942391	95.3819605761	75335.0	34580373.0	263-476	75335.0	53.0
temp | CRR215075.merged	454.012395463	5.34081796311	94.6591820369	43645.0	19815371.0	256-475	43645.0	52.0
temp | CRR215076.merged	461.271740962	5.3269988881	94.6730011119	59358.0	27380168.0	249-476	59358.0	52.0
temp | CRR215077.merged	471.691073881	1.92071775153	98.0792822485	54615.0	25761408.0	246-475	54615.0	54.0
temp | CRR215078.merged	455.815220723	3.69117232418	96.3088276758	81573.0	37182215.0	251-476	81573.0	51.0
temp | CRR215079.merged	452.8585367	2.89525470464	97.1047452954	84863.0	38430934.0	246-475	84863.0	53.0
temp | CRR215080.merged	452.807622087	3.4203638685	96.5796361315	78325.0	35466157.0	268-475	78325.0	52.0
temp | CRR215081.merged	453.495307754	3.30432176957	96.6956782304	73419.0	33295172.0	247-475	73419.0	52.0
temp | CRR215082.merged	461.011618247	3.03165569319	96.9683443068	80649.0	37180126.0	277-475	80649.0	51.0
temp | CRR215083.merged	456.756125985	3.87646824302	96.123531757	65214.0	29786894.0	243-475	65214.0	51.0
temp | CRR215084.merged	452.196752243	4.50615082902	95.493849171	67308.0	30436459.0	245-475	67308.0	52.0
temp | CRR215085.merged	452.956355354	4.35784372145	95.6421562786	75519.0	34206811.0	246-475	75519.0	52.0
temp | CRR215086.merged	460.847397461	4.54142068912	95.4585793109	51834.0	23887564.0	253-475	51834.0	51.0
temp | CRR215087.merged	457.669621783	3.40653963502	96.593460365	69484.0	31800716.0	260-475	69484.0	52.0
temp | CRR215088.merged	456.350100774	5.16389095152	94.8361090485	47135.0	21510062.0	243-476	47135.0	52.0
temp | CRR215089.merged	454.940772532	4.79313304721	95.2068669528	58250.0	26500300.0	244-475	58250.0	51.0
temp | CRR215090.merged	456.552752989	3.34904866139	96.6509513386	59390.0	27114668.0	251-475	59390.0	51.0
temp | CRR215091.merged	454.364535656	3.75862141697	96.241378583	47411.0	21541877.0	246-475	47411.0	53.0
temp | CRR215092.merged	460.243242832	2.91300574074	97.0869942593	65671.0	30224634.0	246-476	65671.0	52.0
temp | CRR215093.merged	453.255988864	6.44125637054	93.5587436295	44541.0	20188475.0	244-475	44541.0	52.0
temp | CRR215094.merged	451.476793481	3.43922626585	96.5607737341	54489.0	24600519.0	263-475	54489.0	53.0
temp | CRR215095.merged	455.332260721	4.62232990413	95.3776700959	105661.0	48110862.0	245-476	105661.0	51.0
temp | CRR215096.merged	451.141042641	3.07268975006	96.9273102499	100303.0	45250800.0	257-476	100303.0	52.0
temp | CRR215097.merged	455.701759166	4.77737993306	95.2226200669	51388.0	23417602.0	273-475	51388.0	53.0
temp | CRR215098.merged	455.377489234	2.99733402411	97.0026659759	92649.0	42190269.0	245-476	92649.0	52.0
temp | CRR215099.merged	458.28018733	3.50203592521	96.4979640748	81781.0	37478612.0	255-476	81781.0	52.0
temp | CRR215100.merged	453.700297666	4.05451981827	95.9454801817	63830.0	28959690.0	257-476	63830.0	53.0
temp | CRR215101.merged	455.309841042	3.08794281698	96.912057183	66873.0	30447935.0	243-475	66873.0	53.0
temp | CRR215102.merged	455.194652636	3.5422974471	96.4577025529	60441.0	27512420.0	245-475	60441.0	52.0
temp | CRR215103.merged	455.672152821	3.13924938618	96.8607506138	74126.0	33777154.0	266-475	74126.0	54.0
temp | CRR215104.merged	450.354989851	3.20872801083	96.7912719892	59120.0	26624987.0	280-476	59120.0	52.0
temp | CRR215105.merged	455.020530149	3.68517998951	96.3148200105	81977.0	37301218.0	249-475	81977.0	52.0
temp | CRR215106.merged	453.233570221	5.00900356019	94.9909964398	72749.0	32972289.0	243-476	72749.0	52.0
temp | CRR215107.merged	454.464264359	3.65224232887	96.3477576711	63550.0	28881204.0	244-475	63550.0	52.0
temp | CRR215108.merged	455.832984128	4.50132150144	95.4986784986	73023.0	33286292.0	245-476	73023.0	52.0
temp | CRR215109.merged	458.261416831	4.56933319463	95.4306668054	38452.0	17621068.0	246-475	38452.0	53.0
temp | CRR215110.merged	457.314381216	3.94749714658	96.0525028534	61330.0	28047091.0	263-476	61330.0	53.0
temp | CRR215111.merged	453.534950262	5.13691014484	94.8630898552	67453.0	30592293.0	247-475	67453.0	52.0
temp | CRR215112.merged	455.41012451	5.9566259426	94.0433740574	34214.0	15581402.0	253-476	34214.0	53.0
temp | CRR215113.merged	455.93800562	4.5661244997	95.4338755003	58715.0	26770400.0	253-476	58715.0	53.0
temp | CRR215114.merged	451.631987411	4.92829297951	95.0717070205	27961.0	12628082.0	260-474	27961.0	52.0
temp | CRR215115.merged	457.477317784	3.97201166181	96.0279883382	42875.0	19614340.0	245-475	42875.0	51.0
temp | CRR215116.merged	456.13056922	3.79304286718	96.2069571328	56920.0	25962952.0	243-476	56920.0	52.0
temp | CRR215117.merged	460.859302235	3.88167650961	96.1183234904	76874.0	35428098.0	248-475	76874.0	52.0
temp | CRR215118.merged	455.479025541	3.24958356469	96.7504164353	72040.0	32812709.0	245-475	72040.0	52.0
temp | CRR215119.merged	460.662841903	4.12661001881	95.8733899812	48369.0	22281801.0	265-475	48369.0	50.0
temp | CRR215120.merged	459.824819039	5.27782117377	94.7221788262	38406.0	17660032.0	277-476	38406.0	52.0
