Sample	avg_sequence_length	percent_dedup	percent_duplicates	seq_len_read_count	seq_len_bp	sequence_length	total_sequences	percent_gc
temp | CRR214443.merged	456.700836182	5.10559082031	94.8944091797	32768.0	14965173.0	276-475	32768.0	52.0
temp | CRR214444.merged	457.225048924	4.32307418609	95.6769258139	28105.0	12850310.0	246-475	28105.0	52.0
temp | CRR214445.merged	453.577301775	4.78816568047	95.2118343195	42250.0	19163641.0	288-475	42250.0	53.0
temp | CRR214446.merged	461.49039134	3.5203781924	96.4796218076	71498.0	32995640.0	294-476	71498.0	51.0
temp | CRR214447.merged	455.078196131	3.64191127113	96.3580887289	81935.0	37286832.0	253-476	81935.0	51.0
temp | CRR214448.merged	450.954237998	5.05207709805	94.947922902	33412.0	15067283.0	249-475	33412.0	53.0
temp | CRR214449.merged	461.475159299	4.06959378734	95.9304062127	40176.0	18540226.0	263-475	40176.0	51.0
temp | CRR214450.merged	453.057028904	3.50849315939	96.4915068406	62933.0	28512238.0	272-475	62933.0	52.0
temp | CRR214451.merged	452.523486142	3.85243020687	96.1475697931	79664.0	36049831.0	251-476	79664.0	52.0
temp | CRR214452.merged	454.674523221	5.06452089801	94.935479102	47349.0	21528384.0	249-475	47349.0	52.0
temp | CRR214453.merged	451.016145767	3.94786789827	96.0521321017	39515.0	17821903.0	290-475	39515.0	52.0
temp | CRR214454.merged	455.959418846	4.16106268161	95.8389373184	60225.0	27460156.0	285-475	60225.0	52.0
temp | CRR214455.merged	452.382823053	3.6821814498	96.3178185502	71072.0	32151752.0	260-475	71072.0	54.0
temp | CRR214456.merged	455.527760841	4.39739112762	95.6026088724	54123.0	24654529.0	268-475	54123.0	52.0
temp | CRR214457.merged	454.15146965	4.28404379717	95.7159562028	75256.0	34177623.0	245-476	75256.0	52.0
temp | CRR214458.merged	460.572087342	3.16689570927	96.8331042907	65490.0	30162866.0	246-475	65490.0	53.0
temp | CRR214459.merged	460.458970493	3.98269796827	96.0173020317	55716.0	25654932.0	245-475	55716.0	52.0
temp | CRR214460.merged	461.665476244	3.58134431956	96.4186556804	89324.0	41237807.0	260-475	89324.0	50.0
temp | CRR214461.merged	455.576725746	3.65205223881	96.3479477612	64320.0	29302695.0	245-475	64320.0	52.0
temp | CRR214462.merged	456.375943239	3.78079614276	96.2192038572	51021.0	23284757.0	277-475	51021.0	53.0
temp | CRR214463.merged	457.705780303	4.12842883363	95.8715711664	39773.0	18204332.0	323-475	39773.0	50.0
temp | CRR214464.merged	454.305507459	5.67061800746	94.3293819925	30032.0	13643703.0	251-475	30032.0	53.0
temp | CRR214465.merged	458.492119506	4.46416973371	95.5358302663	46190.0	21177751.0	251-475	46190.0	50.0
temp | CRR214466.merged	453.49160758	3.56323320871	96.4367667913	38785.0	17588672.0	246-475	38785.0	53.0
temp | CRR214467.merged	456.019606759	3.61737111906	96.3826288809	72373.0	33003507.0	256-476	72373.0	51.0
temp | CRR214468.merged	459.620855167	3.920816825	96.079183175	70419.0	32366041.0	251-475	70419.0	52.0
temp | CRR214469.merged	456.962268492	4.14701483953	95.8529851605	52158.0	23834238.0	245-475	52158.0	51.0
temp | CRR214470.merged	456.796710535	4.09865887165	95.9013411284	79709.0	36410809.0	246-476	79709.0	53.0
temp | CRR214471.merged	452.565725355	4.39567023486	95.6043297651	50072.0	22660871.0	259-476	50072.0	52.0
temp | CRR214472.merged	452.38881389	3.06133045338	96.9386695466	48149.0	21782069.0	249-475	48149.0	53.0
temp | CRR214473.merged	453.936212224	3.60539603587	96.3946039641	66345.0	30116398.0	273-475	66345.0	51.0
temp | CRR214474.merged	459.588682019	5.10534051935	94.8946594806	40820.0	18760410.0	248-475	40820.0	51.0
temp | CRR214475.merged	452.634058649	4.62904011086	95.3709598891	26701.0	12085782.0	270-474	26701.0	52.0
temp | CRR214476.merged	450.96034899	3.41197322984	96.5880267702	65446.0	29513551.0	249-475	65446.0	52.0
temp | CRR214477.merged	454.195773081	4.35382036378	95.6461796362	63829.0	28990862.0	251-475	63829.0	52.0
temp | CRR214478.merged	458.148412431	4.3374845731	95.6625154269	44565.0	20417384.0	296-476	44565.0	51.0
temp | CRR214479.merged	453.437051415	3.07481777306	96.9251822269	71614.0	32472441.0	282-475	71614.0	52.0
temp | CRR214480.merged	462.085712247	3.91450185555	96.0854981444	28024.0	12949490.0	280-475	28024.0	54.0
temp | CRR214481.merged	455.178662599	4.60743415728	95.3925658427	32122.0	14621249.0	259-474	32122.0	53.0
temp | CRR214482.merged	455.184502413	3.37501283763	96.6249871624	77896.0	35457052.0	244-476	77896.0	52.0
temp | CRR214483.merged	462.210068766	3.44807376729	96.5519262327	51188.0	23659609.0	244-475	51188.0	50.0
temp | CRR214484.merged	458.781220833	4.63319021841	95.3668097816	26785.0	12288455.0	276-474	26785.0	52.0
temp | CRR214485.merged	458.170888131	4.70043838285	95.2995616171	24636.0	11287498.0	259-475	24636.0	52.0
temp | CRR214486.merged	459.197821748	3.95296363794	96.0470363621	46092.0	21165346.0	258-475	46092.0	53.0
temp | CRR214487.merged	455.353118503	3.76992376992	96.2300762301	57720.0	26282982.0	244-476	57720.0	52.0
temp | CRR214488.merged	455.050699222	3.71644408472	96.2835559153	44478.0	20239745.0	323-475	44478.0	53.0
temp | CRR214489.merged	460.169978777	4.94308315647	95.0569168435	25915.0	11925305.0	244-475	25915.0	51.0
temp | CRR214490.merged	451.740525394	3.35971978984	96.6402802102	71375.0	32242980.0	246-476	71375.0	53.0
temp | CRR214491.merged	450.611213749	3.84747583244	96.1525241676	46550.0	20975952.0	251-475	46550.0	53.0
temp | CRR214492.merged	454.837732288	4.75454092732	95.2454590727	38153.0	17353424.0	297-476	38153.0	52.0
temp | CRR214493.merged	456.256975224	3.443767737	96.556232263	62722.0	28617350.0	244-475	62722.0	51.0
temp | CRR214494.merged	454.219117717	3.77542756419	96.2245724358	41982.0	19069027.0	265-475	41982.0	51.0
temp | CRR214495.merged	461.485144992	5.28079226709	94.7192077329	33726.0	15564048.0	261-475	33726.0	50.0
temp | CRR214496.merged	453.902910414	5.0250113688	94.9749886312	26388.0	11977590.0	324-475	26388.0	52.0
temp | CRR214497.merged	471.587772736	2.39323677504	97.606763225	32174.0	15172865.0	277-475	32174.0	55.0
temp | CRR214498.merged	456.87446992	5.09595342485	94.9040465751	27826.0	12712989.0	253-475	27826.0	53.0
temp | CRR214499.merged	458.478501505	3.38950911375	96.6104908862	84378.0	38685499.0	265-475	84378.0	52.0
temp | CRR214500.merged	455.732953945	3.57306459001	96.42693541	56758.0	25866491.0	245-475	56758.0	52.0
temp | CRR214501.merged	454.208051235	3.58035986581	96.4196401342	65580.0	29786964.0	260-475	65580.0	51.0
temp | CRR214502.merged	457.351869678	3.94483524621	96.0551647538	54020.0	24706148.0	260-475	54020.0	52.0
temp | CRR214503.merged	459.872494844	4.54138615403	95.458613846	51394.0	23634687.0	245-476	51394.0	53.0
temp | CRR214504.merged	454.875230973	3.51451566899	96.485484331	80637.0	36679774.0	245-475	80637.0	52.0
temp | CRR214505.merged	456.992025553	5.13408647559	94.8659135244	46649.0	21318221.0	247-476	46649.0	51.0
temp | CRR214506.merged	454.10161194	4.91940298507	95.0805970149	33500.0	15212404.0	274-475	33500.0	53.0
temp | CRR214507.merged	458.502770208	4.48024916894	95.5197508311	33391.0	15309866.0	246-475	33391.0	52.0
temp | CRR214508.merged	453.471803965	4.17126911226	95.8287308877	34402.0	15600337.0	245-475	34402.0	51.0
temp | CRR214509.merged	450.994233053	3.34256798779	96.6574320122	88435.0	39883675.0	262-476	88435.0	53.0
temp | CRR214510.merged	455.142321415	4.17198364541	95.8280163546	38399.0	17477010.0	311-476	38399.0	51.0
temp | CRR214511.merged	452.627600694	5.07443602155	94.9255639784	54745.0	24779098.0	247-475	54745.0	53.0
temp | CRR214512.merged	453.999977314	3.35753176044	96.6424682396	88160.0	40024638.0	246-476	88160.0	53.0
temp | CRR214513.merged	467.874123487	3.22370462302	96.776295377	32230.0	15079583.0	275-475	32230.0	54.0
temp | CRR214514.merged	453.06944872	2.74556752751	97.2544324725	87705.0	39736456.0	254-475	87705.0	51.0
temp | CRR214515.merged	454.398007181	3.67324955117	96.3267504488	55700.0	25309969.0	253-476	55700.0	53.0
temp | CRR214516.merged	452.450146591	3.22003577818	96.7799642218	80496.0	36420427.0	302-476	80496.0	53.0
temp | CRR214517.merged	453.485365911	4.35869285931	95.6413071407	42811.0	19414162.0	255-475	42811.0	52.0
temp | CRR214518.merged	451.89089954	4.02363755745	95.9763624425	38075.0	17205746.0	296-475	38075.0	52.0
temp | CRR214519.merged	458.624617092	4.61265260821	95.3873473918	45050.0	20661039.0	271-475	45050.0	51.0
temp | CRR214520.merged	454.313480749	4.53575542421	95.4642445758	52957.0	24059079.0	246-474	52957.0	52.0
temp | CRR214521.merged	460.321814643	4.59649648151	95.4035035185	33395.0	15372447.0	296-476	33395.0	51.0
temp | CRR214522.merged	457.8414038	3.33148865523	96.6685113448	108420.0	49639165.0	255-475	108420.0	51.0
temp | CRR214523.merged	454.408929824	3.88164937798	96.118350622	54178.0	24618967.0	261-475	54178.0	51.0
temp | CRR214524.merged	456.718714139	3.59864646167	96.4013535383	67970.0	31043171.0	335-476	67970.0	51.0
temp | CRR214525.merged	451.533428013	5.30828800343	94.6917119966	37319.0	16850776.0	253-475	37319.0	52.0
temp | CRR214526.merged	456.229827814	3.74379438195	96.256205618	63652.0	29039941.0	246-476	63652.0	51.0
temp | CRR214527.merged	463.745671427	4.33056730232	95.6694326977	50132.0	23248498.0	246-475	50132.0	50.0
temp | CRR214528.merged	460.717357786	4.13319267494	95.8668073251	36969.0	17032260.0	246-475	36969.0	50.0
temp | CRR214529.merged	453.62578714	3.06102278824	96.9389772118	70826.0	32128500.0	273-476	70826.0	52.0
temp | CRR214530.merged	458.94744532	4.15080138139	95.8491986186	45172.0	20731574.0	246-474	45172.0	53.0
temp | CRR214531.merged	457.894026142	4.29512801123	95.7048719888	46285.0	21193625.0	246-475	46285.0	52.0
temp | CRR214532.merged	459.701478204	5.1274136571	94.8725863429	29157.0	13403516.0	244-475	29157.0	54.0
temp | CRR214533.merged	454.728503146	3.40376909088	96.5962309091	62137.0	28255465.0	260-475	62137.0	52.0
temp | CRR214534.merged	460.934123639	3.89158238501	96.108417615	69509.0	32039070.0	245-475	69509.0	52.0
temp | CRR214535.merged	453.549640241	4.59619914174	95.4038008583	61986.0	28113728.0	246-475	61986.0	52.0
temp | CRR214536.merged	458.617917505	4.02418954573	95.9758104543	76562.0	35112705.0	244-476	76562.0	52.0
temp | CRR214537.merged	459.109081234	3.57396239801	96.426037602	67656.0	31061484.0	245-476	67656.0	51.0
temp | CRR214538.merged	454.607192672	4.41231169797	95.587688302	43016.0	19555383.0	289-475	43016.0	51.0
temp | CRR214539.merged	457.625327608	4.83466235432	95.1653376457	35866.0	16413190.0	247-476	35866.0	52.0
temp | CRR214540.merged	455.24521019	4.28100217559	95.7189978244	42747.0	19460367.0	246-475	42747.0	51.0
temp | CRR214541.merged	452.88431069	3.08535178777	96.9146482122	65892.0	29841453.0	246-476	65892.0	53.0
temp | CRR214542.merged	456.468452895	3.5298686007	96.4701313993	79833.0	36441246.0	250-476	79833.0	51.0
temp | CRR214543.merged	455.139315895	4.52582159624	95.4741784038	37275.0	16965318.0	305-475	37275.0	51.0
temp | CRR214544.merged	457.222624105	5.4836752033	94.5163247967	41195.0	18835286.0	245-476	41195.0	53.0
temp | CRR214545.merged	463.267118564	3.03563830568	96.9643616943	68157.0	31574897.0	278-476	68157.0	51.0
temp | CRR214546.merged	452.425908399	3.05337228921	96.9466277108	48602.0	21988804.0	245-475	48602.0	53.0
temp | CRR214547.merged	451.665296226	4.30810316958	95.6918968304	28458.0	12853491.0	336-475	28458.0	53.0
temp | CRR214548.merged	453.839522295	3.82922257093	96.1707774291	47477.0	21546939.0	246-474	47477.0	53.0
temp | CRR214549.merged	453.276883826	4.4759752031	95.5240247969	44683.0	20253771.0	263-475	44683.0	52.0
temp | CRR214550.merged	451.940992026	4.00864981754	95.9913501825	36995.0	16719557.0	350-475	36995.0	52.0
temp | CRR214551.merged	471.729575039	2.49962011852	97.5003798815	39486.0	18626714.0	322-475	39486.0	54.0
temp | CRR214552.merged	450.553316444	5.35755412252	94.6424458775	34736.0	15650420.0	247-475	34736.0	53.0
temp | CRR214553.merged	463.103319531	3.14612308455	96.8538769155	56514.0	26171821.0	273-475	56514.0	49.0
temp | CRR214554.merged	458.386037271	3.72497786607	96.2750221339	46309.0	21227399.0	245-475	46309.0	51.0
temp | CRR214555.merged	455.743451557	3.94713072801	96.052869272	33214.0	15137063.0	263-474	33214.0	51.0
temp | CRR214556.merged	458.176564023	4.78683080033	95.2131691997	27701.0	12691949.0	298-475	27701.0	51.0
temp | CRR214557.merged	455.486803695	4.64270004399	95.357299956	50014.0	22780717.0	263-475	50014.0	51.0
temp | CRR214558.merged	456.011521614	2.80284479479	97.1971552052	102503.0	46742549.0	277-475	102503.0	54.0
temp | CRR214559.merged	452.55150616	3.72831064955	96.2716893504	46509.0	21047718.0	296-475	46509.0	52.0
temp | CRR214560.merged	471.795791006	2.34517113033	97.6548288697	35733.0	16858679.0	310-476	35733.0	52.0
temp | CRR214561.merged	452.652884178	5.09322419281	94.9067758072	28587.0	12939988.0	263-475	28587.0	52.0
temp | CRR214562.merged	451.972856101	3.42685214129	96.5731478587	76776.0	34700668.0	273-476	76776.0	52.0
temp | CRR214563.merged	453.911365134	2.916054139	97.083945861	78908.0	35817238.0	248-476	78908.0	52.0
temp | CRR214564.merged	452.147733486	4.90275210248	95.0972478975	38407.0	17365638.0	246-476	38407.0	52.0
temp | CRR214565.merged	454.752150438	4.27008273285	95.7299172671	48711.0	22151432.0	260-475	48711.0	52.0
temp | CRR214566.merged	452.311116694	3.63399648249	96.3660035175	43781.0	19802633.0	296-475	43781.0	52.0
temp | CRR214567.merged	459.135139526	3.75979206527	96.2402079347	55402.0	25437005.0	284-475	55402.0	51.0
temp | CRR214568.merged	450.867957616	3.87100347043	96.1289965296	54172.0	24424419.0	244-474	54172.0	53.0
temp | CRR214569.merged	450.839985595	3.20809075086	96.7919092491	66644.0	30045780.0	249-476	66644.0	53.0
temp | CRR214570.merged	470.822772587	2.09582874318	97.9041712568	73527.0	34618186.0	246-475	73527.0	52.0
temp | CRR214571.merged	457.630676463	3.54423955338	96.4557604466	82754.0	37870769.0	268-475	82754.0	52.0
temp | CRR214572.merged	451.484776335	4.65728715729	95.3427128427	27720.0	12515158.0	279-475	27720.0	54.0
temp | CRR214573.merged	458.87813269	3.14642712091	96.8535728791	41857.0	19207262.0	273-475	41857.0	52.0
temp | CRR214574.merged	451.794229847	3.29162488556	96.7083751144	91748.0	41451217.0	245-476	91748.0	53.0
temp | CRR214575.merged	455.766429802	3.88728888374	96.1127111163	69097.0	31492093.0	246-476	69097.0	51.0
temp | CRR214576.merged	459.174815992	3.06572419831	96.9342758017	61682.0	28322821.0	331-475	61682.0	51.0
temp | CRR214577.merged	456.343928328	3.77641445126	96.2235855487	51345.0	23430979.0	262-475	51345.0	51.0
temp | CRR214578.merged	466.022895989	4.18762746431	95.8123725357	36775.0	17137992.0	273-475	36775.0	53.0
temp | CRR214579.merged	460.238416389	4.37101416558	95.6289858344	35438.0	16309929.0	321-475	35438.0	52.0
temp | CRR214580.merged	458.549448616	4.01513374003	95.98486626	34096.0	15634702.0	360-475	34096.0	52.0
temp | CRR214581.merged	454.981111762	3.66206994823	96.3379300518	63161.0	28737062.0	246-475	63161.0	51.0
temp | CRR214582.merged	457.066203478	3.64760808957	96.3523919104	90388.0	41313300.0	263-475	90388.0	52.0
temp | CRR214583.merged	451.700840841	3.98198198198	96.018018018	33300.0	15041638.0	350-475	33300.0	52.0
temp | CRR214584.merged	456.175852515	3.71270247229	96.2872975277	46920.0	21403771.0	290-475	46920.0	52.0
temp | CRR214585.merged	457.297828898	3.5037092493	96.4962907507	73465.0	33595385.0	263-476	73465.0	52.0
