Sample	fastqc_percent_duplicates	fastqc_percent_gc	fastqc_avg_sequence_length	fastqc_total_sequences
temp | CRR214674.merged	95.9715443792	51.0	457.912999421	48356.0
temp | CRR214675.merged	96.5175288696	52.0	454.771580964	77244.0
temp | CRR214676.merged	95.4319328952	53.0	450.075220596	55078.0
temp | CRR214677.merged	96.8912352831	51.0	454.769099234	107020.0
temp | CRR214678.merged	96.0842359031	51.0	455.956322124	56413.0
temp | CRR214679.merged	96.7765803442	52.0	450.751680875	62170.0
temp | CRR214680.merged	96.3533564176	52.0	454.462437898	59781.0
temp | CRR214681.merged	96.7820372094	52.0	457.551819483	71971.0
temp | CRR214682.merged	96.1900431916	52.0	455.676941729	65985.0
temp | CRR214683.merged	96.5870665942	52.0	458.404103229	57077.0
temp | CRR214684.merged	96.3711812439	52.0	453.11603108	81211.0
temp | CRR214685.merged	96.5234469214	53.0	454.769562071	58046.0
temp | CRR214686.merged	96.494618188	52.0	456.307449784	58995.0
temp | CRR214687.merged	96.3356346256	52.0	457.56809733	62139.0
temp | CRR214688.merged	96.6603189979	52.0	454.15456757	90847.0
temp | CRR214689.merged	96.0357262263	52.0	451.488035535	41874.0
temp | CRR214690.merged	96.7352525066	53.0	461.56185028	65028.0
temp | CRR214691.merged	95.4299383105	51.0	455.517059046	39715.0
temp | CRR214692.merged	94.115612933	53.0	453.866030776	34702.0
temp | CRR214693.merged	95.9897313652	52.0	460.440506097	54535.0
temp | CRR214694.merged	95.1903807615	53.0	455.745329368	30938.0
temp | CRR214695.merged	96.4090728213	52.0	455.12781536	62825.0
temp | CRR214696.merged	95.652173913	52.0	456.068178913	70403.0
temp | CRR214697.merged	96.737068133	51.0	455.869198696	88019.0
temp | CRR214698.merged	96.3414236846	52.0	454.608877667	61390.0
temp | CRR214699.merged	97.1335822523	53.0	451.257656825	77937.0
temp | CRR214700.merged	96.3437722544	51.0	455.907126604	57573.0
temp | CRR214701.merged	96.8351475799	51.0	455.95507883	94254.0
temp | CRR214702.merged	97.8511320377	55.0	471.781932478	39928.0
temp | CRR214703.merged	96.3901561127	51.0	461.93092119	47786.0
temp | CRR214704.merged	96.3181270329	52.0	454.306387967	60567.0
temp | CRR214705.merged	96.8445296446	53.0	464.936173441	72509.0
temp | CRR214706.merged	95.6925435235	51.0	455.699200701	45665.0
temp | CRR214707.merged	95.704638168	52.0	456.337955504	58342.0
temp | CRR214708.merged	97.5309988161	52.0	471.020764534	64196.0
temp | CRR214709.merged	95.6140086272	53.0	457.912310338	33151.0
temp | CRR214710.merged	96.303015445	52.0	457.203677372	81580.0
temp | CRR214711.merged	96.3717455676	52.0	456.122227819	81389.0
temp | CRR214712.merged	96.0714849832	52.0	451.463343638	44317.0
temp | CRR214713.merged	96.1711449731	52.0	454.35969912	51582.0
temp | CRR214714.merged	96.6528792279	51.0	455.41416586	68178.0
temp | CRR214715.merged	96.0782834949	51.0	456.97950526	53038.0
temp | CRR214716.merged	97.0102093196	52.0	452.673164889	87665.0
temp | CRR214717.merged	96.8158309635	52.0	458.458322896	67867.0
temp | CRR214718.merged	96.5839133158	52.0	454.585898451	84629.0
temp | CRR214719.merged	97.2927476532	49.0	468.806432447	50494.0
temp | CRR214720.merged	96.0086433092	52.0	453.916067294	32395.0
temp | CRR214721.merged	96.8958169357	52.0	452.630521587	104182.0
temp | CRR214722.merged	96.3310264673	52.0	458.364784194	75716.0
temp | CRR214723.merged	95.5458260362	52.0	452.835639229	34260.0
temp | CRR214724.merged	97.0097275113	51.0	454.13010793	101362.0
temp | CRR214725.merged	96.9763528702	51.0	453.934838735	77853.0
temp | CRR214726.merged	96.3251080071	52.0	455.942458056	75458.0
temp | CRR214727.merged	95.5302401813	52.0	457.904190526	49421.0
temp | CRR214728.merged	95.490188112	52.0	451.832304067	49226.0
temp | CRR214729.merged	96.6890270887	50.0	458.628118231	85866.0
temp | CRR214730.merged	95.0318100141	51.0	458.653659366	41182.0
temp | CRR214731.merged	96.1704110595	52.0	454.696414703	70817.0
temp | CRR214732.merged	96.8405137477	50.0	462.838658894	64156.0
temp | CRR214733.merged	96.3568112578	51.0	454.207493109	55144.0
temp | CRR214734.merged	95.9093225785	52.0	456.22204002	45127.0
temp | CRR214735.merged	96.6611743368	51.0	454.603096141	78291.0
temp | CRR214736.merged	97.0944939187	51.0	462.082729824	57718.0
temp | CRR214737.merged	95.6053026513	51.0	457.47076038	39980.0
temp | CRR214738.merged	97.0734415839	50.0	460.306862041	73841.0
temp | CRR214739.merged	95.2937453378	52.0	455.103867628	44239.0
temp | CRR214740.merged	96.2149728147	52.0	453.907556113	71730.0
temp | CRR214741.merged	95.2388568991	52.0	457.006771167	56268.0
temp | CRR214742.merged	97.0966880342	52.0	453.279513889	74880.0
temp | CRR214743.merged	95.6826390561	52.0	454.019985553	41530.0
temp | CRR214744.merged	96.1433927551	52.0	454.720280987	71747.0
temp | CRR214745.merged	96.3264184641	52.0	451.625443055	72790.0
temp | CRR214746.merged	95.7192565561	51.0	457.506543325	58915.0
temp | CRR214747.merged	96.4171192139	52.0	454.281859322	77340.0
temp | CRR214748.merged	97.0060589495	52.0	454.334991572	109755.0
temp | CRR214749.merged	94.7376990459	52.0	451.612491452	30709.0
temp | CRR214750.merged	96.9229905388	50.0	460.183216822	71238.0
temp | CRR214751.merged	95.1127658664	50.0	458.725574528	46734.0
temp | CRR214752.merged	96.6643641387	53.0	455.465334836	55012.0
temp | CRR214753.merged	95.9041503097	52.0	451.219950532	44069.0
temp | CRR214754.merged	97.0399561143	51.0	459.491318026	89323.0
temp | CRR214755.merged	96.4764179875	51.0	458.15950544	61954.0
temp | CRR214756.merged	96.4401526845	51.0	455.743320051	83571.0
temp | CRR214757.merged	96.4129048988	52.0	460.033753268	46277.0
temp | CRR214758.merged	95.9714636521	52.0	452.603158474	47238.0
temp | CRR214759.merged	96.0644555183	51.0	457.961972061	48964.0
temp | CRR214760.merged	97.1438503633	52.0	456.448080201	89176.0
temp | CRR214761.merged	95.9434366519	52.0	456.577733793	49007.0
temp | CRR214762.merged	96.2001438517	53.0	453.451015783	73687.0
temp | CRR214763.merged	96.0350566721	51.0	459.307167235	47466.0
temp | CRR214764.merged	95.4510237963	51.0	459.745390149	45175.0
temp | CRR214765.merged	96.7183789285	53.0	451.608904173	64846.0
temp | CRR214766.merged	96.749160631	51.0	458.432459826	94714.0
temp | CRR214767.merged	94.8656662773	52.0	452.919040345	55645.0
temp | CRR214768.merged	96.1252071911	52.0	452.325564197	78430.0
temp | CRR214769.merged	97.0375079466	53.0	455.263936064	55055.0
temp | CRR214770.merged	95.4026919079	51.0	457.66630191	73108.0
temp | CRR214771.merged	96.6777762559	53.0	454.421236056	65709.0
temp | CRR214772.merged	96.6353096216	51.0	457.945099469	71329.0
temp | CRR214773.merged	96.4658846604	51.0	454.345849206	53026.0
temp | CRR214774.merged	96.1613838877	53.0	453.08863571	38269.0
temp | CRR214775.merged	96.0119774184	53.0	457.590517241	52432.0
temp | CRR214776.merged	96.6589526664	53.0	452.881052645	79077.0
temp | CRR214777.merged	96.7336028165	52.0	451.449891027	107366.0
temp | CRR214778.merged	97.1092474813	52.0	451.482625091	88835.0
temp | CRR214779.merged	96.0894633466	51.0	455.097687385	78915.0
temp | CRR214780.merged	96.2933719349	51.0	456.943501338	45594.0
temp | CRR214781.merged	96.1734179202	50.0	461.767087359	44609.0
temp | CRR214782.merged	95.3243107769	52.0	453.279418546	49875.0
temp | CRR214783.merged	96.8852118396	52.0	457.078785818	52941.0
temp | CRR214784.merged	96.0885993485	52.0	455.788065147	38375.0
temp | CRR214785.merged	95.0807992487	53.0	452.770685579	30879.0
temp | CRR214786.merged	96.4447292286	51.0	454.27312091	51501.0
temp | CRR214787.merged	97.1239022894	50.0	457.130907185	78231.0
temp | CRR214788.merged	96.2158413615	51.0	451.864527496	53354.0
temp | CRR214789.merged	94.4909537802	52.0	454.368538744	54111.0
temp | CRR214790.merged	96.5257933524	52.0	453.771026554	59841.0
temp | CRR214791.merged	96.0663218142	52.0	455.991031214	50843.0
temp | CRR214792.merged	95.5771275108	52.0	453.162661557	71492.0
temp | CRR214793.merged	96.1389674156	52.0	456.532212468	53768.0
temp | CRR214794.merged	96.8502863376	51.0	461.846423052	88008.0
temp | CRR214795.merged	95.4959500368	55.0	456.149235007	73334.0
temp | CRR214796.merged	96.0394544814	53.0	453.367906329	59613.0
temp | CRR214797.merged	95.9485359698	53.0	456.185076949	52697.0
temp | CRR214798.merged	95.9309121954	51.0	453.189347869	76135.0
temp | CRR214799.merged	96.9319908815	52.0	454.651120821	73696.0
temp | CRR214800.merged	96.2910362973	52.0	453.985633559	66892.0
temp | CRR214801.merged	96.8270828227	50.0	458.122708827	73434.0
temp | CRR214802.merged	94.5803796021	51.0	454.908300938	39357.0
temp | CRR214803.merged	95.2983797126	51.0	457.054341335	50238.0
temp | CRR214804.merged	96.2334106552	52.0	450.499125376	52594.0
temp | CRR214805.merged	95.9526568449	52.0	456.518090666	84574.0
temp | CRR214806.merged	96.2925714286	53.0	453.389470476	65625.0
temp | CRR214807.merged	95.7243453491	52.0	453.769646756	69159.0
temp | CRR214808.merged	97.1357652471	53.0	449.690054452	76949.0
temp | CRR214809.merged	96.610519552	52.0	453.789838443	43576.0
temp | CRR214810.merged	96.6489899277	52.0	458.017748657	88063.0
temp | CRR214811.merged	97.174403838	50.0	459.665602512	56696.0
temp | CRR214812.merged	96.5261476491	51.0	458.548246406	71995.0
temp | CRR214813.merged	95.4395163657	51.0	456.048500382	51113.0
temp | CRR214814.merged	96.4025458906	52.0	451.209912985	65046.0
temp | CRR214815.merged	96.5115608603	53.0	459.376837917	69372.0
temp | CRR214816.merged	95.9206540233	52.0	456.215524754	48194.0
temp | CRR214817.merged	96.7685974713	52.0	452.66170244	68020.0
temp | CRR214818.merged	95.0350644207	53.0	459.511078493	42921.0
temp | CRR214819.merged	95.7434656991	52.0	453.926482116	89298.0
temp | CRR214820.merged	96.4948205252	52.0	452.600602265	41510.0
temp | CRR214821.merged	96.6137545973	53.0	453.031004059	52477.0
temp | CRR214822.merged	95.413516684	53.0	455.879839025	61376.0
temp | CRR214823.merged	95.883687139	52.0	450.867172272	56434.0
temp | CRR214824.merged	95.8599899514	53.0	460.819561213	59710.0
temp | CRR214825.merged	93.9555381998	52.0	454.850018131	35851.0
temp | CRR214826.merged	95.7669100556	52.0	452.718122696	85186.0
temp | CRR214827.merged	96.5836332196	52.0	454.306086523	64191.0
temp | CRR214828.merged	96.4245708577	53.0	456.904650177	66062.0
temp | CRR214829.merged	96.6102462667	52.0	456.709341829	66229.0
temp | CRR214830.merged	96.7395899387	53.0	450.563015219	75696.0
temp | CRR214831.merged	94.9275057785	52.0	454.071380542	47590.0
temp | CRR214832.merged	95.5970349201	52.0	466.93915781	44788.0
temp | CRR214833.merged	96.1210370768	52.0	456.178902472	59552.0
temp | CRR214834.merged	96.566492274	52.0	453.141975909	82190.0
temp | CRR214835.merged	94.7034263828	53.0	456.202235948	28981.0
temp | CRR214836.merged	96.2818309639	53.0	453.504487146	57609.0
temp | CRR214837.merged	97.0634086213	54.0	471.581988906	27583.0
temp | CRR214838.merged	95.9965731222	53.0	453.968903399	43188.0
temp | CRR214839.merged	96.0151698362	52.0	451.75398483	54582.0
temp | CRR214840.merged	96.821361392	51.0	458.841553021	68048.0
temp | CRR214841.merged	98.3256278895	55.0	471.813944771	72027.0
temp | CRR214842.merged	96.2905407876	53.0	450.81909759	54698.0
temp | CRR214843.merged	96.4068992811	51.0	460.302519623	60644.0
temp | CRR214844.merged	96.0022473853	51.0	456.769405307	46276.0
temp | CRR214845.merged	96.3489932886	50.0	461.761941146	48425.0
temp | CRR214846.merged	97.3027564307	51.0	454.530439112	106442.0
temp | CRR214847.merged	96.6058485379	52.0	459.023010914	60015.0
temp | CRR214848.merged	96.8230082869	53.0	465.588665409	47183.0
temp | CRR214849.merged	96.0331408486	52.0	452.189646908	43813.0
temp | CRR214850.merged	96.2478450461	51.0	455.392759355	59166.0
temp | CRR214851.merged	97.7096926714	53.0	452.131782506	52875.0
temp | CRR214852.merged	96.8167711698	52.0	452.825017417	78945.0
temp | CRR214853.merged	96.0607785923	52.0	457.395434489	56204.0
temp | CRR214854.merged	96.6442462348	52.0	452.587805235	54712.0
temp | CRR214855.merged	94.5049807602	52.0	460.413097422	27807.0
temp | CRR214856.merged	96.8937522061	53.0	459.032297917	73658.0
temp | CRR214857.merged	96.3349209441	54.0	459.474247065	56479.0
temp | CRR214858.merged	95.9998550672	52.0	452.025526287	55198.0
temp | CRR214859.merged	96.0553904288	52.0	455.151540287	43401.0
temp | CRR214860.merged	95.8063067944	52.0	453.436614703	64597.0
temp | CRR214861.merged	96.8659154462	51.0	456.633973809	72238.0
temp | CRR214862.merged	95.6278580123	52.0	451.959749317	60794.0
temp | CRR214863.merged	96.301256794	52.0	456.478095653	64211.0
temp | CRR214864.merged	95.4052399608	52.0	455.430888834	81680.0
temp | CRR214865.merged	96.5304929294	51.0	454.326305404	54734.0
temp | CRR214866.merged	95.672974373	53.0	452.745558704	32817.0
temp | CRR214867.merged	95.7249610971	52.0	455.942919681	58479.0
temp | CRR214868.merged	96.8783774047	52.0	455.106329707	55516.0
temp | CRR214869.merged	95.6379353337	51.0	455.928950212	60155.0
temp | CRR214870.merged	95.1709048693	52.0	457.293362506	44791.0
temp | CRR214871.merged	95.7935048554	51.0	458.945944714	65803.0
temp | CRR214872.merged	95.3219992884	51.0	458.358739539	64643.0
temp | CRR214873.merged	96.277524211	52.0	455.326295238	77341.0
temp | CRR214874.merged	96.913274613	52.0	458.720539949	76748.0
temp | CRR214875.merged	96.3572163668	52.0	454.142056141	56358.0
temp | CRR214876.merged	96.8729775378	51.0	453.814430711	63351.0
temp | CRR214877.merged	95.065237842	51.0	458.326168759	48898.0
temp | CRR214878.merged	96.0958620522	51.0	457.97393994	82118.0
temp | CRR214879.merged	95.3961621789	52.0	459.688924997	38772.0
temp | CRR214880.merged	96.1028089539	51.0	456.380976003	64508.0
temp | CRR214881.merged	94.8804554995	57.0	455.901155637	41449.0
temp | CRR214882.merged	97.1821573083	53.0	451.070051156	82297.0
temp | CRR214883.merged	95.7855410631	52.0	453.497017762	61028.0
temp | CRR214884.merged	96.2326952221	52.0	456.47711446	107557.0
temp | CRR214885.merged	95.1468501818	52.0	452.819344107	61321.0
temp | CRR214886.merged	95.3656396759	52.0	453.403416422	58131.0
temp | CRR214887.merged	96.5609761788	52.0	452.693660904	42861.0
temp | CRR214888.merged	96.9309234073	52.0	471.564110594	22352.0
temp | CRR214889.merged	95.4751942618	50.0	457.961785216	50190.0
temp | CRR214890.merged	97.0730898387	53.0	466.213368711	72363.0
temp | CRR214891.merged	94.8989165026	52.0	453.12565994	54361.0
temp | CRR214892.merged	96.1359646584	52.0	452.837664217	51837.0
temp | CRR214893.merged	96.7427309533	52.0	454.678229665	43472.0
temp | CRR214894.merged	96.1174668949	52.0	460.145932799	44404.0
temp | CRR214895.merged	95.3761152122	52.0	454.057175853	44162.0
temp | CRR214896.merged	96.156131048	52.0	449.555787806	45449.0
temp | CRR214897.merged	96.4552286333	50.0	455.969303273	78510.0
temp | CRR214898.merged	95.8123578817	51.0	457.425060133	76081.0
temp | CRR214899.merged	94.9928620526	51.0	457.209882092	37826.0
temp | CRR214900.merged	95.5706438204	52.0	452.279407637	74819.0
temp | CRR214901.merged	96.3542267143	53.0	450.808090901	78063.0
temp | CRR214902.merged	97.1315959452	53.0	450.716705554	75861.0
temp | CRR214903.merged	95.3053441205	52.0	453.78187882	62667.0
temp | CRR214904.merged	96.7578231293	52.0	455.486285714	73500.0
temp | CRR214905.merged	95.9986221942	51.0	457.140593605	52257.0
temp | CRR214906.merged	97.277609474	51.0	457.454516662	72620.0
temp | CRR214907.merged	96.3085284281	50.0	456.010451505	47840.0
temp | CRR214908.merged	96.6335482507	50.0	457.761776415	56766.0
temp | CRR214909.merged	94.408304812	51.0	455.279902083	44119.0
temp | CRR214910.merged	97.0470751064	53.0	463.981183973	114158.0
temp | CRR214911.merged	96.0643311092	52.0	452.976740499	69391.0
temp | CRR214912.merged	96.0745552104	54.0	452.302221595	84984.0
temp | CRR214913.merged	96.9417609056	52.0	452.950908157	83741.0
temp | CRR214914.merged	95.2109274143	51.0	457.072752259	48026.0
temp | CRR214915.merged	96.6036658844	53.0	452.031410541	63068.0
temp | CRR214916.merged	95.413728063	53.0	453.033602591	48776.0
temp | CRR214917.merged	95.3919499343	52.0	456.112293545	67751.0
temp | CRR214918.merged	96.0851179921	51.0	455.717620379	58648.0
temp | CRR214919.merged	96.4476833712	52.0	451.541918861	65591.0
temp | CRR214920.merged	95.0122140086	52.0	451.374451168	62633.0
temp | CRR214921.merged	95.8115991234	53.0	454.188786691	64798.0
temp | CRR214922.merged	96.016590891	55.0	461.479301268	62685.0
temp | CRR214923.merged	95.5688622754	52.0	452.887082977	58450.0
temp | CRR214924.merged	95.8436003533	50.0	461.159034203	64527.0
temp | CRR214925.merged	96.5058868211	51.0	459.480798016	44761.0
temp | CRR214926.merged	95.1380860629	51.0	456.20704346	46710.0
temp | CRR214927.merged	96.6593459131	53.0	455.370504833	66933.0
temp | CRR214928.merged	97.3063903138	53.0	468.680297398	48151.0
temp | CRR214929.merged	94.8050644767	52.0	456.047082239	59789.0
temp | CRR214930.merged	96.0113707027	51.0	457.032402061	45028.0
temp | CRR214931.merged	96.4805260299	52.0	453.04136279	103112.0
temp | CRR214932.merged	96.5698971418	52.0	461.540986061	66791.0
temp | CRR214933.merged	96.2317210349	52.0	457.718925759	49784.0
temp | CRR214934.merged	97.0294583394	53.0	451.393391808	89041.0
temp | CRR214935.merged	95.3152409452	52.0	451.858796822	48455.0
temp | CRR214936.merged	97.0019773303	54.0	454.441877628	71814.0
temp | CRR214937.merged	95.9076492418	52.0	454.003235872	77877.0
temp | CRR214938.merged	96.6279922477	51.0	453.543711697	76364.0
temp | CRR214939.merged	95.9619275211	52.0	454.950046844	73649.0
temp | CRR214940.merged	96.102388929	51.0	449.472749568	45669.0
temp | CRR214941.merged	96.559287183	51.0	456.754665622	51065.0
temp | CRR214942.merged	96.5581395349	52.0	456.344622974	70950.0
temp | CRR214943.merged	96.2114814093	53.0	456.490775028	92358.0
temp | CRR214944.merged	95.9023985181	53.0	459.530420619	31311.0
temp | CRR214945.merged	96.6475834963	52.0	455.878681287	55721.0
temp | CRR214946.merged	95.1246938878	52.0	454.504572942	40018.0
temp | CRR214947.merged	96.6580947483	52.0	458.592410995	87495.0
temp | CRR214948.merged	97.4034119418	54.0	470.041269443	71748.0
temp | CRR214949.merged	96.13969811	51.0	454.955999042	70953.0
temp | CRR214950.merged	96.2125190527	52.0	454.853893151	78073.0
temp | CRR214951.merged	95.6821718123	52.0	457.623515683	48844.0
temp | CRR214952.merged	95.9815840587	52.0	457.58129631	69505.0
temp | CRR214953.merged	96.6887303361	54.0	463.637084157	58165.0
temp | CRR214954.merged	95.3073324191	51.0	455.634347019	49588.0
temp | CRR214955.merged	94.8705680487	52.0	458.485406939	60611.0
temp | CRR214956.merged	95.9065305895	52.0	453.188277285	53793.0
temp | CRR214957.merged	96.4098409585	52.0	453.421076195	93812.0
temp | CRR214958.merged	98.4754538481	52.0	471.871947712	62576.0
temp | CRR214959.merged	96.763065085	52.0	451.275165117	77975.0
temp | CRR214960.merged	94.5998121674	53.0	455.956485443	38332.0
temp | CRR214961.merged	94.1995797823	52.0	455.061592578	42359.0
temp | CRR214962.merged	95.6639078805	52.0	452.866918556	50022.0
temp | CRR214963.merged	96.1299481524	52.0	452.245329603	48604.0
temp | CRR214964.merged	96.9851413338	51.0	463.235013918	51014.0
temp | CRR214965.merged	95.8884161187	51.0	455.80368154	87898.0
temp | CRR214966.merged	96.2604388164	52.0	453.876836816	84181.0
temp | CRR214967.merged	98.0115563371	55.0	469.013541012	79610.0
temp | CRR214968.merged	96.7610653566	52.0	451.659550643	83052.0
temp | CRR214969.merged	96.3719614448	50.0	459.282762442	68577.0
temp | CRR214970.merged	96.8218635392	53.0	456.213634313	101978.0
temp | CRR214971.merged	95.5288160368	52.0	455.400422844	76624.0
temp | CRR214972.merged	96.4620468338	51.0	454.412623519	62946.0
temp | CRR214973.merged	96.5412466279	51.0	456.527289507	70430.0
temp | CRR214974.merged	96.990579756	52.0	459.369008029	79085.0
temp | CRR214975.merged	95.5053101481	52.0	456.735926899	62051.0
temp | CRR214976.merged	96.8764643861	53.0	452.425594541	68288.0
temp | CRR214977.merged	95.5796311988	54.0	455.395533228	49566.0
temp | CRR214978.merged	94.9402314844	53.0	451.205616343	31622.0
temp | CRR214979.merged	97.1329555855	51.0	455.001655646	97243.0
temp | CRR214980.merged	94.8574867334	51.0	454.367033208	54837.0
temp | CRR214981.merged	97.8349622665	54.0	471.862458246	32332.0
temp | CRR214982.merged	96.7037839344	52.0	454.233724775	78939.0
temp | CRR214983.merged	96.2334080331	53.0	456.314687123	58010.0
temp | CRR214984.merged	96.1589995534	49.0	462.824534763	67170.0
temp | CRR214985.merged	96.4751556774	51.0	456.439868795	78046.0
temp | CRR214986.merged	94.8384840905	52.0	455.815594825	37179.0
temp | CRR214987.merged	97.3938477718	52.0	450.082829412	91284.0
temp | CRR214988.merged	95.466224173	52.0	453.588391678	56046.0
temp | CRR214989.merged	96.8698253298	51.0	455.691148977	56163.0
temp | CRR214990.merged	96.7626874983	52.0	454.761222774	73734.0
temp | CRR214991.merged	96.9106395265	53.0	454.483508975	103905.0
temp | CRR214992.merged	96.6959418534	53.0	453.754694125	66040.0
temp | CRR214993.merged	96.5111863549	54.0	462.347979494	63202.0
temp | CRR214994.merged	96.1711758477	54.0	454.189011856	48161.0
temp | CRR214995.merged	97.9797979798	52.0	471.098551186	56529.0
temp | CRR214996.merged	96.4476287049	51.0	455.103479229	60157.0
temp | CRR214997.merged	96.8613701535	52.0	451.192161257	82998.0
temp | CRR214998.merged	96.684551794	51.0	454.037925791	57217.0
temp | CRR214999.merged	95.9029416013	51.0	455.596183782	62313.0
temp | CRR215000.merged	95.9847560216	50.0	458.665628814	80294.0
temp | CRR215001.merged	95.5457413249	54.0	456.42716539	55475.0
temp | CRR215002.merged	94.1367257612	52.0	455.903800737	31757.0
temp | CRR215003.merged	96.4559509359	52.0	458.813757746	62612.0
temp | CRR215004.merged	96.5209750382	51.0	456.834152374	61454.0
temp | CRR215005.merged	95.3663029616	53.0	460.490753861	28228.0
temp | CRR215006.merged	96.8265437875	51.0	458.294045179	84419.0
temp | CRR215007.merged	96.2211605686	51.0	456.376182708	85820.0
temp | CRR215008.merged	97.6502581317	54.0	471.43570078	47069.0
temp | CRR215009.merged	97.0543714851	52.0	450.030439635	90507.0
temp | CRR215010.merged	97.0448758862	52.0	452.899494211	145713.0
temp | CRR215011.merged	96.7391304348	53.0	452.14968264	63020.0
temp | CRR215012.merged	95.5657847233	53.0	452.435865697	77556.0
temp | CRR215013.merged	95.2161113341	51.0	457.261318524	44838.0
temp | CRR215014.merged	95.3046953047	52.0	458.164855553	49049.0
temp | CRR215015.merged	95.7918993544	52.0	455.106250908	48169.0
temp | CRR215016.merged	97.3975252427	52.0	456.699623326	108051.0
temp | CRR215017.merged	97.8975518059	52.0	455.834590252	178744.0
temp | CRR215018.merged	97.3439742202	51.0	453.486103069	79442.0
temp | CRR215019.merged	96.3564153482	51.0	457.971968484	78055.0
temp | CRR215020.merged	96.3959129832	53.0	451.042233997	44727.0
temp | CRR215021.merged	95.0010385654	52.0	458.440744074	43329.0
temp | CRR215022.merged	96.6896576499	53.0	456.583593778	55674.0
temp | CRR215023.merged	96.0123665866	53.0	451.167126147	50782.0
temp | CRR215024.merged	96.1953995464	52.0	452.682461651	70993.0
temp | CRR215025.merged	96.7036836403	51.0	455.86182286	73840.0
temp | CRR215026.merged	97.5091509687	52.0	451.494658215	100809.0
temp | CRR215027.merged	96.5565646828	52.0	453.648468551	59127.0
temp | CRR215028.merged	95.6424372492	50.0	461.750139965	42868.0
temp | CRR215029.merged	95.4612133448	53.0	462.106229394	68851.0
temp | CRR215030.merged	96.8354534534	51.0	455.958200997	60767.0
temp | CRR215031.merged	96.9260713833	52.0	463.840257063	86827.0
temp | CRR215032.merged	97.0336084305	52.0	452.689882538	68703.0
temp | CRR215033.merged	96.3392676285	51.0	454.996804033	88862.0
temp | CRR215034.merged	95.9447889912	52.0	451.91336215	47889.0
temp | CRR215035.merged	97.2222222222	53.0	451.142359157	63972.0
temp | CRR215036.merged	96.1520909771	52.0	450.850282022	54783.0
temp | CRR215037.merged	97.2013231942	52.0	450.710198277	99154.0
temp | CRR215038.merged	96.7441055728	52.0	451.050851723	63577.0
temp | CRR215039.merged	95.4941125817	51.0	453.860573953	53419.0
temp | CRR215040.merged	96.7904207064	53.0	461.655459294	46517.0
temp | CRR215041.merged	96.3419315691	52.0	452.74504972	80753.0
temp | CRR215042.merged	96.127765047	52.0	452.178428347	64149.0
temp | CRR215043.merged	96.092029491	51.0	456.307193566	73107.0
temp | CRR215044.merged	97.3973815698	54.0	462.543529821	63244.0
temp | CRR215045.merged	96.8140649973	53.0	453.478067839	84465.0
temp | CRR215046.merged	97.0723531055	53.0	453.134258311	107390.0
temp | CRR215047.merged	95.5780924346	50.0	459.846028233	46541.0
temp | CRR215048.merged	96.5732993816	52.0	453.246034922	54980.0
temp | CRR215049.merged	95.9244577079	52.0	452.188143067	44902.0
temp | CRR215050.merged	96.3961680774	52.0	452.218219372	78916.0
temp | CRR215051.merged	98.0846707615	54.0	471.600092464	45423.0
temp | CRR215052.merged	97.3744757208	52.0	455.180484153	90839.0
temp | CRR215053.merged	94.7207872079	52.0	459.649913899	40650.0
temp | CRR215054.merged	95.6579855122	52.0	453.135247787	69576.0
temp | CRR215055.merged	96.1080300594	51.0	455.997949004	60946.0
temp | CRR215056.merged	95.4336860977	51.0	457.554914842	74743.0
temp | CRR215057.merged	96.9149421789	50.0	458.031478241	52576.0
temp | CRR215058.merged	96.4922988547	52.0	452.497450903	55706.0
temp | CRR215059.merged	96.9268936817	53.0	453.757752791	49982.0
temp | CRR215060.merged	95.9833564494	53.0	451.100268146	54075.0
temp | CRR215061.merged	97.0240972916	51.0	457.841116877	93081.0
temp | CRR215062.merged	96.8688706905	52.0	452.551056516	98910.0
temp | CRR215063.merged	95.1084957705	52.0	454.0214088	51661.0
temp | CRR215064.merged	96.8421052632	51.0	456.800281237	74670.0
temp | CRR215065.merged	95.4992804803	50.0	460.02595233	60457.0
temp | CRR215066.merged	96.3875805935	52.0	452.592734007	43738.0
temp | CRR215067.merged	95.7635440339	53.0	454.037973796	71286.0
temp | CRR215068.merged	95.9829199708	51.0	459.214779879	67213.0
temp | CRR215069.merged	94.4654044512	54.0	453.046000485	28891.0
temp | CRR215070.merged	95.255423373	52.0	453.482610217	28580.0
temp | CRR215071.merged	96.9332762576	51.0	463.212486417	91107.0
temp | CRR215072.merged	96.7459954233	51.0	455.430629291	87400.0
temp | CRR215073.merged	95.3210147197	53.0	459.076119637	63860.0
temp | CRR215074.merged	95.3819605761	53.0	459.021344661	75335.0
temp | CRR215075.merged	94.6591820369	52.0	454.012395463	43645.0
temp | CRR215076.merged	94.6730011119	52.0	461.271740962	59358.0
temp | CRR215077.merged	98.0792822485	54.0	471.691073881	54615.0
temp | CRR215078.merged	96.3088276758	51.0	455.815220723	81573.0
temp | CRR215079.merged	97.1047452954	53.0	452.8585367	84863.0
temp | CRR215080.merged	96.5796361315	52.0	452.807622087	78325.0
temp | CRR215081.merged	96.6956782304	52.0	453.495307754	73419.0
temp | CRR215082.merged	96.9683443068	51.0	461.011618247	80649.0
temp | CRR215083.merged	96.123531757	51.0	456.756125985	65214.0
temp | CRR215084.merged	95.493849171	52.0	452.196752243	67308.0
