Sample	fastqc_percent_duplicates	fastqc_percent_gc	fastqc_avg_sequence_length	fastqc_total_sequences
temp | CRR214363.merged	97.0873371161	52.0	453.137136095	140284.0
temp | CRR214364.merged	97.3799537307	53.0	451.655368932	106334.0
temp | CRR214365.merged	97.66931269	51.0	452.499228061	228645.0
temp | CRR214366.merged	96.2361979319	52.0	458.684173629	68468.0
temp | CRR214367.merged	96.7345525076	52.0	451.837600443	72180.0
temp | CRR214368.merged	96.8953894678	51.0	454.427234402	97017.0
temp | CRR214369.merged	96.5916692682	53.0	455.187329974	89692.0
temp | CRR214370.merged	97.4232981783	53.0	456.484205931	116816.0
temp | CRR214371.merged	96.092472512	52.0	460.469561131	53205.0
temp | CRR214372.merged	96.2979621493	52.0	455.283869033	86709.0
temp | CRR214373.merged	96.9154299009	52.0	454.754644481	113468.0
temp | CRR214374.merged	97.1604876835	50.0	456.098561831	100475.0
temp | CRR214375.merged	97.0201793927	53.0	457.452221379	109369.0
temp | CRR214376.merged	96.0534843265	52.0	454.51209196	58634.0
temp | CRR214377.merged	96.8494995024	51.0	455.987625124	85415.0
temp | CRR214378.merged	94.7198247067	53.0	454.711968575	37423.0
temp | CRR214379.merged	95.2750450326	52.0	454.435060736	43302.0
temp | CRR214380.merged	96.4362687066	51.0	456.358331057	65886.0
temp | CRR214381.merged	97.4237311964	53.0	449.841223816	113808.0
temp | CRR214382.merged	95.6975105683	51.0	461.519069986	63870.0
temp | CRR214383.merged	96.9160377919	53.0	455.274407273	67316.0
temp | CRR214384.merged	95.8479611126	52.0	457.271047124	59248.0
temp | CRR214385.merged	91.9912366115	51.0	455.166869523	8216.0
temp | CRR214386.merged	93.7751567912	53.0	454.577833942	53415.0
temp | CRR214387.merged	90.8876933423	51.0	451.735036987	5948.0
temp | CRR214388.merged	95.4354601891	52.0	457.193297442	38821.0
temp | CRR214389.merged	96.9925379328	52.0	455.995020258	132537.0
temp | CRR214390.merged	96.5731233579	51.0	455.179338803	62039.0
temp | CRR214391.merged	97.0362227695	52.0	452.471170819	94609.0
temp | CRR214392.merged	97.2460229599	53.0	451.624876784	65941.0
temp | CRR214393.merged	94.6675164648	53.0	451.09228277	37656.0
temp | CRR214394.merged	95.7522566137	52.0	458.92263485	32017.0
temp | CRR214395.merged	96.9798159691	53.0	464.870529089	53904.0
temp | CRR214396.merged	95.758193168	52.0	461.287237732	46136.0
temp | CRR214397.merged	97.030075188	53.0	450.90238425	101080.0
temp | CRR214398.merged	96.4709905691	51.0	456.000762887	76027.0
temp | CRR214399.merged	96.5521622437	53.0	451.150475646	62967.0
temp | CRR214400.merged	94.8418283057	50.0	456.201798935	49029.0
temp | CRR214401.merged	97.2405139068	53.0	450.352654725	86864.0
temp | CRR214402.merged	96.595781635	51.0	457.201072502	92121.0
temp | CRR214403.merged	96.5419175544	52.0	453.98242705	107950.0
temp | CRR214404.merged	96.7272933793	52.0	459.508696455	70431.0
temp | CRR214405.merged	96.8944906445	52.0	456.853235447	76960.0
temp | CRR214406.merged	97.5151688343	53.0	452.394064051	150473.0
temp | CRR214407.merged	94.5102520359	52.0	451.347973734	62134.0
temp | CRR214408.merged	95.5868994335	52.0	455.875534709	60547.0
temp | CRR214409.merged	95.9081453356	51.0	458.868761739	49513.0
temp | CRR214410.merged	95.7365386561	51.0	456.972875013	59318.0
temp | CRR214411.merged	97.2179611695	52.0	453.057574135	110171.0
temp | CRR214412.merged	96.5536040415	51.0	457.363030066	110057.0
temp | CRR214413.merged	90.5593845167	52.0	454.855265267	6239.0
temp | CRR214414.merged	97.1676799347	51.0	451.132025636	151819.0
temp | CRR214415.merged	95.0510753196	52.0	452.935858462	52961.0
temp | CRR214416.merged	94.8797781324	52.0	451.156196855	38221.0
temp | CRR214417.merged	97.9743269416	53.0	449.047279679	119269.0
temp | CRR214418.merged	96.454974189	53.0	455.017143585	62764.0
temp | CRR214419.merged	96.2655908414	52.0	456.497766325	94687.0
temp | CRR214420.merged	96.1520454146	52.0	453.955960672	102522.0
temp | CRR214421.merged	94.081559004	50.0	456.369799454	19397.0
temp | CRR214422.merged	95.7835044846	53.0	450.136682699	61544.0
temp | CRR214423.merged	94.2512135435	52.0	454.07172945	24927.0
temp | CRR214424.merged	95.992902558	53.0	460.252571767	47341.0
temp | CRR214425.merged	93.9347462354	51.0	458.783114891	14344.0
temp | CRR214426.merged	97.5049098375	52.0	457.058605606	156828.0
temp | CRR214427.merged	96.8139380882	51.0	453.253942938	107217.0
temp | CRR214428.merged	97.0306226114	52.0	454.863528615	103355.0
temp | CRR214429.merged	96.6144793838	52.0	454.89929185	67641.0
temp | CRR214430.merged	97.0833006544	51.0	455.810218469	114753.0
temp | CRR214431.merged	96.929800222	53.0	450.644963929	72080.0
temp | CRR214432.merged	96.4046562648	51.0	456.075083089	61079.0
temp | CRR214433.merged	96.5859833519	52.0	452.73591878	78207.0
temp | CRR214434.merged	97.231436837	52.0	455.055699132	103700.0
temp | CRR214435.merged	96.0798932664	53.0	454.263223984	50968.0
temp | CRR214436.merged	97.1725904105	53.0	456.73056711	67553.0
temp | CRR214437.merged	96.1477648412	51.0	454.510113144	48699.0
temp | CRR214438.merged	95.6548595284	52.0	453.464546636	46949.0
temp | CRR214439.merged	95.3212427337	51.0	456.531710609	45931.0
temp | CRR214440.merged	96.576715781	51.0	457.412983095	54363.0
temp | CRR214441.merged	95.7583605961	52.0	458.334514722	44016.0
temp | CRR214442.merged	95.6639566396	53.0	456.224954104	45756.0
temp | CRR214443.merged	94.8944091797	52.0	456.700836182	32768.0
temp | CRR214444.merged	95.6769258139	52.0	457.225048924	28105.0
temp | CRR214445.merged	95.2118343195	53.0	453.577301775	42250.0
temp | CRR214446.merged	96.4796218076	51.0	461.49039134	71498.0
temp | CRR214447.merged	96.3580887289	51.0	455.078196131	81935.0
temp | CRR214448.merged	94.947922902	53.0	450.954237998	33412.0
temp | CRR214449.merged	95.9304062127	51.0	461.475159299	40176.0
temp | CRR214450.merged	96.4915068406	52.0	453.057028904	62933.0
temp | CRR214451.merged	96.1475697931	52.0	452.523486142	79664.0
temp | CRR214452.merged	94.935479102	52.0	454.674523221	47349.0
temp | CRR214453.merged	96.0521321017	52.0	451.016145767	39515.0
temp | CRR214454.merged	95.8389373184	52.0	455.959418846	60225.0
temp | CRR214455.merged	96.3178185502	54.0	452.382823053	71072.0
temp | CRR214456.merged	95.6026088724	52.0	455.527760841	54123.0
temp | CRR214457.merged	95.7159562028	52.0	454.15146965	75256.0
temp | CRR214458.merged	96.8331042907	53.0	460.572087342	65490.0
temp | CRR214459.merged	96.0173020317	52.0	460.458970493	55716.0
temp | CRR214460.merged	96.4186556804	50.0	461.665476244	89324.0
temp | CRR214461.merged	96.3479477612	52.0	455.576725746	64320.0
temp | CRR214462.merged	96.2192038572	53.0	456.375943239	51021.0
temp | CRR214463.merged	95.8715711664	50.0	457.705780303	39773.0
temp | CRR214464.merged	94.3293819925	53.0	454.305507459	30032.0
temp | CRR214465.merged	95.5358302663	50.0	458.492119506	46190.0
temp | CRR214466.merged	96.4367667913	53.0	453.49160758	38785.0
temp | CRR214467.merged	96.3826288809	51.0	456.019606759	72373.0
temp | CRR214468.merged	96.079183175	52.0	459.620855167	70419.0
temp | CRR214469.merged	95.8529851605	51.0	456.962268492	52158.0
temp | CRR214470.merged	95.9013411284	53.0	456.796710535	79709.0
temp | CRR214471.merged	95.6043297651	52.0	452.565725355	50072.0
temp | CRR214472.merged	96.9386695466	53.0	452.38881389	48149.0
temp | CRR214473.merged	96.3946039641	51.0	453.936212224	66345.0
temp | CRR214474.merged	94.8946594806	51.0	459.588682019	40820.0
temp | CRR214475.merged	95.3709598891	52.0	452.634058649	26701.0
temp | CRR214476.merged	96.5880267702	52.0	450.96034899	65446.0
temp | CRR214477.merged	95.6461796362	52.0	454.195773081	63829.0
temp | CRR214478.merged	95.6625154269	51.0	458.148412431	44565.0
temp | CRR214479.merged	96.9251822269	52.0	453.437051415	71614.0
temp | CRR214480.merged	96.0854981444	54.0	462.085712247	28024.0
temp | CRR214481.merged	95.3925658427	53.0	455.178662599	32122.0
temp | CRR214482.merged	96.6249871624	52.0	455.184502413	77896.0
